Step #299 Reward:-61.95777396021512 Current Epsilon: 0.31303943426452274
Step #300 Reward:-50.89605750419099 Current Epsilon: 0.3118417710431195
Step #301 Reward:-82.58130491432695 Current Epsilon: 0.3106488411898186
Step #302 Reward:-85.03562718220198 Current Epsilon: 0.30946062599754687
Step #303 Reward:-48.7528890077956 Current Epsilon: 0.30827710683316445
Step #304 Reward:-96.06407498050845 Current Epsilon: 0.30709826513717314
Step #305 Reward:-71.63700272887945 Current Epsilon: 0.3059240824234247
Step #306 Reward:-58.70249164904217 Current Epsilon: 0.30475454027883153
Step #307 Reward:-64.52441282588177 Current Epsilon: 0.30358962036307746
Step #308 Reward:-78.60156495833053 Current Epsilon: 0.30242930440833055
Step #309 Reward:-64.67233899963699 Current Epsilon: 0.3012735742189564
Step #310 Reward:-35.818472405780426 Current Epsilon: 0.3001224116712326
Step #311 Reward:-40.197496538981795 Current Epsilon: 0.2989757987130652
Step #312 Reward:-70.64193882410618 Current Epsilon: 0.2978337173637046
Step #313 Reward:-60.74366912121437 Current Epsilon: 0.2966961497134648
Step #314 Reward:-63.84883546764456 Current Epsilon: 0.2955630779234416
Step #315 Reward:-46.076748114639486 Current Epsilon: 0.2944344842252331
Step #316 Reward:-66.66214960557409 Current Epsilon: 0.29331035092066127
Step #317 Reward:-66.66216138466956 Current Epsilon: 0.2921906603814942
Step #318 Reward:-79.59655522300918 Current Epsilon: 0.29107539504916985
Step #319 Reward:-47.75797310581086 Current Epsilon: 0.2899645374345205
Step #320 Reward:-66.66213583588689 Current Epsilon: 0.28885807011749864
Step #321 Reward:-64.02119570927618 Current Epsilon: 0.28775597574690365
Step #322 Reward:-50.22142280819335 Current Epsilon: 0.28665823704010995
Step #323 Reward:-70.94850158691406 Current Epsilon: 0.2855648367827957
Step #324 Reward:-65.66718558210414 Current Epsilon: 0.284475757828673
Step #325 Reward:-61.68738270616191 Current Epsilon: 0.283390983099219
Step #326 Reward:-58.70414620623342 Current Epsilon: 0.2823104955834081
Step #327 Reward:-62.61447489499997 Current Epsilon: 0.28123427833744513
Step #328 Reward:-53.70838999896296 Current Epsilon: 0.2801623144844997
Step #329 Reward:-67.29569529697619 Current Epsilon: 0.2790945872144414
Step #330 Reward:-50.75802421278786 Current Epsilon: 0.2780310797835765
Step #331 Reward:-57.70751126612106 Current Epsilon: 0.27697177551438495
